,Influencer insta name,instagram name,category_1,category_2,Followers,Audience country(mostly),"Authentic engagement
","Engagement avg
",New_Category
862,strangerthingstv,Stranger Things Netflix,Cinema & Actors/actresses,Shows,15.6M,Brazil,433.2K,579.5K,Movies
865,sunnyleone,Sunny Leone,Beauty,Cinema & Actors/actresses,51.5M,India,312.8K,421.7K,Beauty
868,sydney_sweeney,Sydney Sweeney,Lifestyle,Cinema & Actors/actresses,11.8M,United States,1.8M,3.4M,Lifestyle
871,t22felton,Tom Felton,Music,Cinema & Actors/actresses,11.9M,United States,223.4K,289.4K,Music & Dance
872,taehyung.bighitentertainment,TAEHYUNG (김태형) Updates,Management & Marketing,Music,10.3M,Indonesia,2M,2.1M,Other
876,tamannaahspeaks,Tamannaah Bhatia,Music,Cinema & Actors/actresses,15.9M,India,344.4K,401.9K,Music & Dance
877,tamerhosny,Tamer Hosny,Music,Cinema & Actors/actresses,22M,Egypt,110.5K,134.1K,Music & Dance
878,tatawerneck,Tata Werneck,Cinema & Actors/actresses,Family,52.1M,Brazil,80.8K,123.5K,Movies
879,taylor_hill,Taylor Hill,Art/Artists,Fashion,18.9M,United States,115.5K,172.9K,Art/Artists
889,theellenshow,Ellen DeGeneres,Shows,Cinema & Actors/actresses,116.8M,United States,29.2K,33.3K,Movies
897,therealcalebmclaughlin,Caleb McLaughlin,Cinema & Actors/actresses,Lifestyle,11.1M,Brazil,278.7K,398.6K,Movies
898,therealjosephmorgan,Joseph Morgan,Cinema & Actors/actresses,Lifestyle,7.8M,Brazil,411.3K,514.1K,Movies
899,therock,therock,Cinema & Actors/actresses,Fitness & Gym,307M,India,303.4K,396K,Movies
905,tiffanyyoungofficial,tiffany young,Modeling,Fashion,11.6M,Indonesia,240.5K,301.2K,Fashion
907,timatiofficial,13,Music,Fitness & Gym,18M,Russia,151.2K,202.4K,Music & Dance
915,trentarnold66,Trent Alexander-Arnold,Lifestyle,Sports with a ball,6.6M,United Kingdom,298.9K,438.3K,Lifestyle
917,troyesivan,troye sivan,Art/Artists,Fashion,12.6M,United States,157.2K,225.6K,Art/Artists
919,twicetagram,TWICE,Music,Modeling,24.6M,Indonesia,1.3M,1.6M,Music & Dance
922,tylerrjoseph,tyler jøseph,Music,Art/Artists,5.5M,United States,628.2K,941.3K,Music & Dance
924,urassayas,Urassaya Sperbund,Cinema & Actors/actresses,Modeling,11.4M,Thailand,181.6K,220.8K,Movies
926,ursulolita,Úrsula Corberó ✨,Cinema & Actors/actresses,Modeling,24.6M,Brazil,2M,2.9M,Movies
928,valentinazenere,Valentina Zenere,Modeling,Lifestyle,8.5M,Brazil,259K,315.4K,Fashion
933,vanessamorgan,Vanessa Morgan,Music,Cinema & Actors/actresses,9.4M,United States,422.3K,600.5K,Music & Dance
937,victoriajustice,Victoria Justice,Music,Cinema & Actors/actresses,21.8M,United States,226.2K,309.8K,Music & Dance
945,virginia,Virginia Fonseca Costa,Shows,Lifestyle,35.8M,Brazil,1.4M,2.1M,Movies
946,vivi,Vivi Wanderley,Beauty,Lifestyle,13.1M,Brazil,200K,328.4K,Beauty
947,vousmevoyez,KRYSTAL,Music,Cinema & Actors/actresses,10.1M,Indonesia,366.6K,475.8K,Music & Dance
948,warriors,Golden State Warriors,Lifestyle,Sports with a ball,22.2M,United States,81.7K,112.8K,Lifestyle
949,watanabenaomi703,渡辺直美　Naomi watanabe,Cinema & Actors/actresses,Humor & Fun & Happiness,9.7M,Japan,339K,361K,Movies
950,waynerooney,Wayne Rooney,Sports with a ball,Lifestyle,15.5M,United Kingdom,139.8K,201.4K,Sports
955,willevy,William  Levy / Actor Producer,Shows,Cinema & Actors/actresses,10.2M,Brazil,382.9K,514.4K,Movies
956,willsmith,Will Smith,Cinema & Actors/actresses,Music,62.4M,United States,1.9M,2.4M,Movies
960,wolfiecindy,Cindy Kimberly,Modeling,Lifestyle,6.9M,United States,226.5K,376.7K,Fashion
967,xxxibgdrgn,권지용(權志龍),Photography,Fashion,20.6M,Indonesia,785.3K,999.1K,Business & Careers
973,yasmine_sabri,Yasmine Sabri,Cinema & Actors/actresses,Lifestyle,18.4M,Egypt,158.4K,222.8K,Movies
985,yugyeom,KYUM,Music,Art/Artists,10.8M,Thailand,634.2K,821.7K,Music & Dance
989,yuzi_chahal23,Yuzvendra Chahal,Lifestyle,Sports with a ball,7.5M,India,311.5K,379.5K,Lifestyle
991,zachking,Zach King,Shows,Humor & Fun & Happiness,24.5M,Indonesia,413.9K,637.7K,Movies
994,zelenskiy_official,Володимир Зеленський,Cinema & Actors/actresses,Business & Careers,16.4M,Ukraine,174K,208.1K,Movies
995,zendaya,Zendaya,Cinema & Actors/actresses,Fashion,136.1M,United States,6.4M,8.6M,Movies
999,zoesugg,Zoë Sugg,Lifestyle,Business & Careers,9.4M,United Kingdom,208.7K,289.3K,Lifestyle
