,Influencer insta name,instagram name,category_1,category_2,Followers,Audience country(mostly),"Authentic engagement
","Engagement avg
",New_Category
114,barackobama,Barack Obama,Finance & Economics,Business & Careers,35.4M,United States,148.3K,174.6K,Other
118,beberexha,Bebe Rexha,Music,Lifestyle,10.8M,India,221.5K,327K,Music & Dance
120,beingsalmankhan,Salman Khan,Cinema & Actors/actresses,Art/Artists,50.7M,India,474.6K,604.4K,Movies
124,bellathorne,BELLA,Music,Art/Artists,25.2M,United States,289.5K,485.7K,Music & Dance
125,bernardokath,Kathryn Bernardo 🐘,Beauty,Cinema & Actors/actresses,16.8M,Philippines,452.7K,545.4K,Beauty
126,beyonce,Beyoncé,Music,Fashion,246.9M,United States,2.6M,3.7M,Music & Dance
130,bibisbeautypalace,! Bibi,Family,Lifestyle,7.8M,Germany,322.7K,369.6K,Other
132,bigsean,BIGSEAN,Music,Art/Artists,14.6M,United States,169.9K,310.3K,Music & Dance
138,blythe,Andrea Brillantes,Cinema & Actors/actresses,Modeling,13.4M,Philippines,196.9K,224.1K,Movies
140,bn_sj2013,박서준,Cinema & Actors/actresses,Modeling,21.4M,Indonesia,2.5M,2.9M,Movies
142,borodylia,Ксения Бородина,Shows,Family,18.2M,Russia,123K,153.2K,Movies
143,bramastavrl,Verrell Bramasta,Cinema & Actors/actresses,Lifestyle,23.7M,Indonesia,109.1K,138.9K,Movies
144,brentrivera,Brent Rivera,Music,Cinema & Actors/actresses,22.1M,United States,888.3K,1.2M,Music & Dance
145,bretmanrock,Bretman (Da Baddest) Rock,Art/Artists,Beauty,18.3M,United States,551K,927.9K,Art/Artists
154,bugatti,BUGATTI,Cars & Motorbikes,Luxury,16.1M,United States,124.1K,168.5K,Autos & Vehicles
159,c.syresmith,Jaden Smith,Cinema & Actors/actresses,Lifestyle,18.6M,United States,190.1K,294.6K,Movies
167,canyaman,Can Yaman,Cinema & Actors/actresses,Modeling,9.3M,Italy,324.4K,402.8K,Movies
168,caradelevingne,Cara Delevingne,Modeling,Cinema & Actors/actresses,43.3M,United States,130.1K,182.8K,Fashion
170,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers & Gadgets,Machinery & Technologies,15M,India,885.8K,1M,Science & Technology
176,chaelincl,CL,Art/Artists,Fashion,9.8M,Brazil,259K,342.5K,Art/Artists
180,charlidamelio,cd,Lifestyle,Shows,47.7M,United States,1.5M,1.9M,Lifestyle
190,chrissyteigen,chrissy teigen,Shows,Modeling,37.4M,United States,158K,205.5K,Movies
191,ciara,Ciara,Music,Modeling,31.3M,United States,199.4K,270.6K,Music & Dance
193,claireholt,Claire Holt,Cinema & Actors/actresses,Lifestyle,7.4M,United States,304.1K,415.4K,Movies
198,cole.labrant,Cole LaBrant,Lifestyle,Fashion,5M,United States,412.6K,580.8K,Lifestyle
200,colleen,Colleen Ballinger,Family,Fashion,7.5M,United States,368.3K,463.6K,Other
204,cvillaloboss,CARMEN VILLALOBOS,Shows,Cinema & Actors/actresses,19.2M,Colombia,247.3K,305.1K,Movies
219,davidbeckham,David Beckham,Family,Sports with a ball,71.9M,India,500.4K,641.1K,Other
228,debbyryan,Debby Ryan,Music,Cinema & Actors/actresses,16.7M,United States,169.4K,246.4K,Music & Dance
230,deiveleonardo,Deive Leonardo,Literature & Journalism,Trainers & Coaches,10.8M,Brazil,234.3K,431.4K,Journalism
232,demirose,Demi 🌹,Modeling,Lifestyle,19.2M,United States,395.9K,515K,Fashion
235,diddy,LOVE,Music,Cinema & Actors/actresses,18.4M,United States,109.4K,164.5K,Music & Dance
238,dishapatani,disha patani (paatni) 🦋,Cinema & Actors/actresses,Lifestyle,49.6M,India,909.3K,1.1M,Movies
239,divyankatripathidahiya,Divyanka Tripathi Dahiya,Shows,Cinema & Actors/actresses,18.9M,India,146.5K,168.2K,Movies
240,dixiedamelio,dixie,Music,Clothing & Outfits,25.1M,United States,293K,430.3K,Music & Dance
260,dylanminnette,Dylan Minnette,Music,Cinema & Actors/actresses,7.3M,United States,215.7K,350.4K,Music & Dance
263,earthpix,🌎  EarthPix  🌎,Nature & landscapes,Photography,22.7M,United States,118.7K,145.9K,Travel
266,ederbez,Eugenio Derbez,Cinema & Actors/actresses,Lifestyle,18.1M,Mexico,248.3K,278.9K,Movies
269,elcinsangu,Elçin Sangu,Cinema & Actors/actresses,Lifestyle,8.3M,Turkey,284.6K,342.8K,Movies
270,eliana,Eliana Michaelichen,Music,Shows,29.6M,Brazil,119.3K,151.5K,Music & Dance
271,ellenpompeo,Ellen Pompeo,Cinema & Actors/actresses,Lifestyle,10M,Brazil,285.8K,495.8K,Movies
277,eminem,Marshall Mathers,Cinema & Actors/actresses,Music,35.6M,Iran,771.2K,993.5K,Movies
278,emmachamberlain,emma chamberlain,Lifestyle,Shows,15.3M,United States,1.1M,1.7M,Lifestyle
