Influencer_insta_name,category_1,followers,audience_country,"authentic_engagement
","engagement_avg
"
kimkardashian,Fashion/ Beauty,296400000,United States,2000000,2900000
kimshantal,Celebrity/ Entertainment,11600000,Mexico,203300,237800
kingarturo23oficial,Sports,16700000,Italy,120800,194800
kingbach,Celebrity/ Entertainment,22100000,United States,120600,242000
kingjames,Sports,116600000,United States,952900,1600000
kingryan,Health/ Fitness,8700000,United States,209500,316600
kittychicha,Travel/ Lifestyle,4200000,Philippines,678800,823400
kjapa,Celebrity/ Entertainment,19000000,United States,1000000,1500000
kkvsh,Travel/ Lifestyle,8200000,United States,198800,336600
klaythompson,Sports,11600000,United States,202300,294700
kourtneykardash,Travel/ Lifestyle,166400000,United States,674500,961200
krisjenner,Celebrity/ Entertainment,46600000,United States,119600,183400
kritisanon,Fashion/ Beauty,47300000,India,565500,658200
ksi,Celebrity/ Entertainment,11200000,United Kingdom,611700,857500
kun11xd,Travel/ Lifestyle,6500000,Indonesia,802400,1000000
kunaguero,Sports,22400000,Argentina,458400,794500
kyliejenner,Fashion/ Beauty,323300000,United States,7600000,12300000
kyo1122,Celebrity/ Entertainment,12900000,Indonesia,636200,810500
kyrieirving,Sports,16200000,United States,142700,216800
l7nnon,Travel/ Lifestyle,6300000,Brazil,214000,507900
la_segura,Celebrity/ Entertainment,8200000,Colombia,335200,411300
lacikaysomers,Celebrity/ Entertainment,11800000,United States,147500,253700
ladivaza,Celebrity/ Entertainment,6800000,Mexico,388900,474500
ladygaga,Celebrity/ Entertainment,51900000,United States,498300,700000
lakers,Sports,19300000,United States,85800,132400
lalalalisa_m,Celebrity/ Entertainment,75700000,Indonesia,7500000,8600000
lanacondor,Celebrity/ Entertainment,10900000,Brazil,283000,385700
larasilva,Celebrity/ Entertainment,16800000,Brazil,789000,1200000
larissamanoela,Celebrity/ Entertainment,44800000,Brazil,192100,320400
larray,Travel/ Lifestyle,6700000,United States,357000,521500
laurenlondon,Celebrity/ Entertainment,9700000,United States,217700,371600
leaelui,Fashion/ Beauty,11700000,India,428400,719500
leedongwook_official,Celebrity/ Entertainment,14100000,Indonesia,1000000,1400000
leighannepinnock,Celebrity/ Entertainment,8500000,Brazil,279100,398000
lelepons,Celebrity/ Entertainment,47700000,Mexico,724300,1100000
leomessi,Sports,315400000,Argentina,4000000,5300000
leonardodicaprio,Celebrity/ Entertainment,52800000,United States,132000,166200
ler_chek,Travel/ Lifestyle,10500000,Russia,713000,923300
lestykejora,Celebrity/ Entertainment,24900000,Indonesia,372900,484000
letthelordbewithyou,Travel/ Lifestyle,26500000,United States,61500,92200
lewishamilton,Automotive,27500000,Brazil,819900,1200000
lexibrookerivera,Celebrity/ Entertainment,8400000,United States,778000,975400
liampayne,Celebrity/ Entertainment,24100000,United States,420400,585500
lilbaby,Celebrity/ Entertainment,18800000,United States,475400,876500
lildurk,Celebrity/ Entertainment,13000000,United States,162100,458200
lilireinhart,Celebrity/ Entertainment,29000000,Brazil,1500000,2200000
lilnasx,Celebrity/ Entertainment,12200000,United States,815500,1400000
liluzivert,Celebrity/ Entertainment,15800000,United States,1100000,2000000
lilyjcollins,Celebrity/ Entertainment,26900000,United States,314300,467300
linatejeiro,Celebrity/ Entertainment,9200000,Colombia,237700,287000
lisakudrow,Celebrity/ Entertainment,8500000,India,356600,475700
litkillah,Celebrity/ Entertainment,7200000,Argentina,438700,578400
littlebodybigheart,Celebrity/ Entertainment,11100000,Brazil,913100,1200000
littlemix,Celebrity/ Entertainment,15400000,Brazil,172100,232000
liverpoolfc,Sports,36700000,United Kingdom,100200,138200
lizakoshy,Celebrity/ Entertainment,19600000,United States,156300,208800
lizasoberano,Fashion/ Beauty,16900000,Philippines,243100,289900
lizgillz,Celebrity/ Entertainment,13900000,Mexico,563000,816300
lizzobeeating,Celebrity/ Entertainment,12100000,United States,213100,298300
loganpaul,Health/ Fitness,22500000,United States,549400,733800
loren,Fashion/ Beauty,22500000,United States,137300,227300
loud_babi,Travel/ Lifestyle,9200000,Brazil,200100,323500
loud_victor,Travel/ Lifestyle,10400000,Brazil,511200,652300
louist91,Celebrity/ Entertainment,18200000,Brazil,1100000,1500000
louisvuitton,Fashion/ Beauty,47700000,Brazil,46200,59700
lucas_lira,Travel/ Lifestyle,5800000,Brazil,296500,434300
lucasranngel,Travel/ Lifestyle,19200000,Brazil,186800,412300
lucyhale,Celebrity/ Entertainment,24300000,United States,183500,240400
ludmilla,Celebrity/ Entertainment,26500000,Brazil,143500,212600
luisafernandaw,Travel/ Lifestyle,16900000,Colombia,106300,162100
luisasonza,Celebrity/ Entertainment,28200000,Brazil,125100,198900
luisitocomunica,Travel/ Lifestyle,31700000,Mexico,939800,1200000
luissuarez9,Sports,43000000,Brazil,238800,356500
lukamodric10,Sports,21600000,Spain,419800,616300
lunay,Celebrity/ Entertainment,10300000,Mexico,202600,296600
m_kayoung,Celebrity/ Entertainment,7900000,Indonesia,1100000,1500000
m10_official,Sports,24000000,Turkey,526600,738300
machinegunkelly,Celebrity/ Entertainment,9600000,United States,284000,457500
maddieziegler,Celebrity/ Entertainment,13900000,United States,533400,799900
madelame,Celebrity/ Entertainment,25300000,Russia,1300000,1800000
madhuridixitnene,Celebrity/ Entertainment,30600000,India,297200,343100
madisonbaileybabe,Travel/ Lifestyle,6700000,United States,416400,779300
madisonbeer,Celebrity/ Entertainment,30600000,United States,630200,940900
mahnaz_afshar,Celebrity/ Entertainment,15700000,Iran,154300,212900
maisa,Celebrity/ Entertainment,42000000,Brazil,343700,468000
maluma,Celebrity/ Entertainment,61600000,Italy,329200,507600
malutrevejo,Celebrity/ Entertainment,11200000,United States,277200,496800
manchesterunited,Sports,56500000,United Kingdom,116600,188800
manelyk_oficial,Celebrity/ Entertainment,14100000,Mexico,179500,240400
maneskinofficial,Travel/ Lifestyle,6000000,Italy,519400,733500
manurios,Celebrity/ Entertainment,9900000,Mexico,572700,966000
marcelotwelve,Sports,53000000,Spain,413500,622200
marcmarquez93,Automotive,6600000,Indonesia,478200,634500
marcoasensio10,Sports,13600000,Spain,194300,298300
marcusrashford,Sports,12700000,United Kingdom,401900,635500
mariabecerra,Celebrity/ Entertainment,8600000,Argentina,332300,785000
mariapedraza_,Celebrity/ Entertainment,12000000,Spain,279600,369000
marimaria,Fashion/ Beauty,19900000,Brazil,126600,242700
marinaruybarbosa,Celebrity/ Entertainment,39800000,Brazil,86600,130100
markiplier,Celebrity/ Entertainment,9800000,United States,406500,463300
markruffalo,Celebrity/ Entertainment,20500000,Brazil,194300,244200
marktuan,Celebrity/ Entertainment,12100000,Thailand,667100,877200
marshmellomusic,Celebrity/ Entertainment,29200000,India,345600,406600
martingarrix,Celebrity/ Entertainment,15600000,Mexico,152800,216300
marvel,Celebrity/ Entertainment,62700000,United States,180100,212500
marvelstudios,Celebrity/ Entertainment,36100000,India,225500,252600
mathildtantot,Travel/ Lifestyle,10300000,United States,310200,470000
matue30,Travel/ Lifestyle,6100000,Brazil,186000,408100
maudeapatow,Travel/ Lifestyle,4800000,United States,577000,955100
maudyayunda,Celebrity/ Entertainment,15400000,Indonesia,110900,163500
maxverstappen1,Automotive,8200000,United States,398700,524400
meganfox,Celebrity/ Entertainment,19900000,United States,2100000,3400000
mehraadjam,Celebrity/ Entertainment,4700000,Iran,385000,564100
melissamelmaia,Celebrity/ Entertainment,11500000,Brazil,245100,444100
melo,Sports,8300000,United States,298100,605600
memezar,Celebrity/ Entertainment,23700000,United States,325600,484700
memphisdepay,Sports,14200000,France,191600,339100
mercedesbenz,Automotive,35300000,Iran,75000,106800
miakhalifa,Health/ Fitness,27700000,India,1500000,2300000
michaelbjordan,Celebrity/ Entertainment,18400000,United States,452900,751000
michaelclifford,Celebrity/ Entertainment,5800000,United States,291900,427900
michelleobama,Business/ Tech/ Gaming,49100000,United States,132300,150200
miguel_bernardeau,Celebrity/ Entertainment,7000000,Spain,260800,384500
miguel.g.herran,Celebrity/ Entertainment,14200000,Brazil,998200,1500000
miketyson,Health/ Fitness,18100000,United States,122800,157300
mikhail_litvin,Celebrity/ Entertainment,14600000,Russia,972000,1200000
milad_khahhh,Travel/ Lifestyle,5600000,Iran,365100,512700
mileycyrus,Celebrity/ Entertainment,163800000,United States,439700,594900
milliebobbybrown,Celebrity/ Entertainment,48200000,Brazil,2100000,2700000
mimikeene3,Celebrity/ Entertainment,4300000,United Kingdom,765800,1400000
min9yu_k,Celebrity/ Entertainment,6000000,Indonesia,1100000,1300000
mingue.k,Celebrity/ Entertainment,3300000,Indonesia,893500,1100000
mirandacosgrove,Celebrity/ Entertainment,9800000,Brazil,213500,333600
mirella,Celebrity/ Entertainment,26600000,Brazil,230400,486700
mohamedramadanws,Celebrity/ Entertainment,20100000,Egypt,93900,129900
mohanshakti,Celebrity/ Entertainment,14900000,India,207000,248000
mosalah,Sports,49000000,Egypt,1200000,1700000
mr_faisu_07,Fashion/ Beauty,26900000,India,362000,462100
mrbeast,Celebrity/ Entertainment,18000000,United States,1400000,1800000
mterstegen1,Sports,13300000,Spain,280000,422000
myketowers,Celebrity/ Entertainment,9400000,Spain,207900,376100
nabilla,Fashion/ Beauty,7200000,France,266800,367400
nadin_serovski,Family/ Home/ Parenting,9400000,Russia,515700,710100
nadine,Celebrity/ Entertainment,11100000,Philippines,319900,354600
naileadevora,Celebrity/ Entertainment,5000000,United States,482400,712700
nameisnani,Sports,4800000,India,517800,559000
nancyajram,Celebrity/ Entertainment,32400000,Iraq,140300,179500
narendramodi,Business/ Tech/ Gaming,66500000,India,1500000,1700000
narins_beauty,Travel/ Lifestyle,8400000,Syria,351600,429000
natalee.007,Fashion/ Beauty,6900000,United States,286600,366100
natashawilona12,Fashion/ Beauty,37500000,Indonesia,233300,278600
nattinatasha,Celebrity/ Entertainment,35400000,Mexico,281100,338300
navidmohammadzadeh,Celebrity/ Entertainment,8200000,Iran,541400,764000
nazriyafahadh,Travel/ Lifestyle,5500000,India,371800,497800
nba,Sports,65800000,United States,40600,68200
ncentineo,Celebrity/ Entertainment,17000000,Brazil,200300,333600
nct,Celebrity/ Entertainment,13600000,Indonesia,624900,819900
nct127,Celebrity/ Entertainment,13700000,Indonesia,787200,972300
nehakakkar,Celebrity/ Entertainment,68500000,India,664800,774400
nehasharmaofficial,Celebrity/ Entertainment,13900000,India,232800,267600
neslihanatagul,Celebrity/ Entertainment,13000000,Turkey,670600,842600
netflix,Celebrity/ Entertainment,29500000,Brazil,65000,105900
netflixbrasil,Celebrity/ Entertainment,29900000,Brazil,103700,177500
neymarjr,Sports,172000000,Brazil,1600000,2300000
niallhoran,Celebrity/ Entertainment,29400000,United States,1200000,1800000
nianaguerrero,Celebrity/ Entertainment,14000000,Indonesia,410600,514800
nicki.nicole,Celebrity/ Entertainment,11500000,Argentina,876200,1300000
nickiminaj,Celebrity/ Entertainment,181600000,United States,393700,615200
nickjonas,Celebrity/ Entertainment,32300000,United States,164000,233000
nickyjam,Celebrity/ Entertainment,42700000,Colombia,290900,347000
nicolegarcia,Travel/ Lifestyle,5300000,Mexico,384900,503400
nike,Health/ Fitness,208900000,United States,129500,175500
nikefootball,Sports,44300000,Brazil,74800,117400
nikitadragun,Fashion/ Beauty,9100000,United States,368000,562100
nikkietutorials,Fashion/ Beauty,15600000,United States,353800,480500
nina,Celebrity/ Entertainment,25500000,Brazil,778500,1100000
nita_shilimkar,Fashion/ Beauty,10300000,India,351100,464900
noahbeck,Sports,9000000,United States,317300,523000
noahschnapp,Celebrity/ Entertainment,20100000,Brazil,1300000,1700000
nodal,Celebrity/ Entertainment,8400000,Mexico,252400,415500
nolimitherbo,Celebrity/ Entertainment,7400000,United States,156200,374700
noorstars,Celebrity/ Entertainment,12600000,Iraq,149500,199600
norafatehi,Celebrity/ Entertainment,38600000,India,865800,1100000
normani,Travel/ Lifestyle,7000000,United States,313800,490900
nusr_et,Food,43500000,Turkey,192900,285400
o.dembele7,Sports,10300000,Spain,468600,804000
obj,Sports,15800000,United States,339500,645800
officialslystallone,Celebrity/ Entertainment,14800000,United States,162900,206300
offsetyrn,Celebrity/ Entertainment,19700000,United States,313300,559800
oliviarodrigo,Celebrity/ Entertainment,22900000,India,2800000,3500000
onwardwanna,Travel/ Lifestyle,5100000,United States,1000000,1700000
oohsehun,Celebrity/ Entertainment,22900000,Indonesia,1900000,2400000
ozuna,Celebrity/ Entertainment,22200000,Spain,167100,225300
paollaoliveirareal,Celebrity/ Entertainment,33600000,Brazil,127600,167400
parineetichopra,Celebrity/ Entertainment,35200000,India,357500,412100
paulodybala,Sports,45800000,Argentina,662900,1100000
paulolondra,Celebrity/ Entertainment,12600000,Argentina,1200000,1900000
paulpogba,Sports,52800000,Brazil,353400,628500
paulwalker,Celebrity/ Entertainment,14600000,India,217200,297800
paulwesley,Celebrity/ Entertainment,12200000,Brazil,640000,958000
pefabiodemelo,Travel/ Lifestyle,25500000,Brazil,81600,122900
perrieedwards,Fashion/ Beauty,14500000,Brazil,523100,816700
perspolis,Sports,7600000,Iran,276500,393200
pewdiepie,Business/ Tech/ Gaming,21900000,United States,1200000,1400000
peytonlist,Celebrity/ Entertainment,19700000,United States,360000,541500
pharrell,Celebrity/ Entertainment,13500000,United States,126400,181100
phil.coutinho,Sports,24500000,Brazil,456200,740900
phoebejtonkin,Fashion/ Beauty,8200000,United States,236800,338600
phs1116,Business/ Tech/ Gaming,9500000,Indonesia,2000000,2600000
playboicarti,Celebrity/ Entertainment,8000000,United States,1200000,2100000
playstation,Business/ Tech/ Gaming,28900000,United States,80500,99300
pokimanelol,Travel/ Lifestyle,6000000,United States,526700,694800
pokrov90,Celebrity/ Entertainment,7300000,Russia,350300,408100
polo.capalot,Celebrity/ Entertainment,10200000,United States,416900,685700
porsche,Automotive,26400000,United States,97100,124400
postmalone,Celebrity/ Entertainment,22300000,United States,407300,623100
prattprattpratt,Celebrity/ Entertainment,35500000,United States,193000,250900
premierleague,Sports,55400000,United Kingdom,49500,69500
prideofgypsies,Celebrity/ Entertainment,16800000,United States,141000,181300
prillylatuconsina96,Celebrity/ Entertainment,46600000,Indonesia,56400,81600
priyankachopra,Celebrity/ Entertainment,75700000,India,643000,778200
psg,Sports,58000000,Brazil,295800,495000
pubity,Travel/ Lifestyle,31600000,United States,214500,313300
pugachevmark,Automotive,10000000,Russia,358100,525900
quavohuncho,Celebrity/ Entertainment,20800000,United States,103000,170100
raashiikhanna,Celebrity/ Entertainment,8100000,India,256600,305900
rachel_mypark,Celebrity/ Entertainment,9700000,Indonesia,784600,977100
rachelvennya,Family/ Home/ Parenting,6700000,Indonesia,176400,372500
rafaelnadal,Sports,14000000,Spain,228700,286300
rafaeluccman,Travel/ Lifestyle,8600000,Brazil,227100,472900
rafakalimann,Fashion/ Beauty,22800000,Brazil,90900,163300
raffinagita1717,Celebrity/ Entertainment,60600000,Indonesia,37400,52500
rahulkl,Sports,11900000,India,676900,788500
raisa6690,Celebrity/ Entertainment,30400000,Indonesia,60600,94000
rakulpreet,Celebrity/ Entertainment,19200000,India,334100,392500
ranveersingh,Celebrity/ Entertainment,38900000,India,314700,408400
raphaelvarane,Sports,18400000,Spain,200800,301400
rashmika_mandanna,Fashion/ Beauty,30000000,India,1700000,2000000
ratantata,Business/ Tech/ Gaming,5900000,India,952200,1100000
rauwalejandro,Celebrity/ Entertainment,13700000,Spain,382400,553000
realbarbarapalvin,Fashion/ Beauty,17500000,Russia,480200,649000
realhinakhan,Celebrity/ Entertainment,16700000,India,189500,233600
realmadrid,Sports,113000000,Spain,407200,563100
realshadmehr,Celebrity/ Entertainment,7600000,Iran,330200,460800
realstraykids,Celebrity/ Entertainment,20100000,Indonesia,1700000,2000000
redvelvet.smtown,Celebrity/ Entertainment,11400000,Indonesia,327900,398900
reesewitherspoon,Celebrity/ Entertainment,27600000,United States,152500,183700
renebaebae,Travel/ Lifestyle,9900000,Indonesia,1400000,1700000
residente,Celebrity/ Entertainment,8700000,Colombia,480400,743900
reynmen,Celebrity/ Entertainment,7000000,Turkey,418000,531500
rezagolzar,Celebrity/ Entertainment,11700000,Iran,178500,263100
riaricis1795,Travel/ Lifestyle,30300000,Indonesia,868200,1100000
ricky_martin,Celebrity/ Entertainment,16700000,Argentina,141200,190400
rishabpant,Sports,6100000,India,496500,589600
riteishd,Celebrity/ Entertainment,13800000,India,282200,328900
riyadmahrez26.7,Sports,8500000,Algeria,333900,429900
riyaz.14,Travel/ Lifestyle,26100000,India,399800,519500
rizkybillar,Celebrity/ Entertainment,12600000,Indonesia,322100,414800
robertdowneyjr,Celebrity/ Entertainment,51900000,India,1600000,2100000
roberto_firmino,Sports,13200000,Brazil,144600,214900
rockstargames,Business/ Tech/ Gaming,22300000,United States,108500,135200
rogerfederer,Sports,9200000,Spain,484700,627900
rohitsharma45,Sports,23300000,India,1100000,1200000
rohittt_09_,Celebrity/ Entertainment,21200000,India,788700,1100000
romeosantos,Celebrity/ Entertainment,19000000,United States,225000,277900
ronaldinho,Sports,65100000,Brazil,183800,317000
rosalia.vt,Celebrity/ Entertainment,19500000,Spain,737000,967100
roses_are_rosie,Celebrity/ Entertainment,57500000,Indonesia,4800000,5500000
ross_lynch,Celebrity/ Entertainment,10000000,United States,348300,695500
ruben_onsu,Celebrity/ Entertainment,37900000,Indonesia,64200,79500
rubyrose,Fashion/ Beauty,18800000,United States,171300,225700
sabrinacarpenter,Celebrity/ Entertainment,27100000,Brazil,1100000,1300000
sachintendulkar,Sports,33500000,India,333400,399900
sadiesink_,Fashion/ Beauty,15300000,Brazil,1200000,1700000
sadiomaneofficiel,Sports,10400000,United Kingdom,350700,500300
saharghoreyshiofficialpage,Travel/ Lifestyle,10700000,Iran,193800,283900
salmahayek,Celebrity/ Entertainment,20900000,United States,212100,262500
samantharuthprabhuoffl,Fashion/ Beauty,22900000,India,584900,701500
samoylovaoxana,Family/ Home/ Parenting,15200000,Russia,897600,1200000
samsmith,Celebrity/ Entertainment,14600000,United States,223900,328400
sanchooo10,Sports,8300000,United Kingdom,411400,719600
sandrinna_11,Travel/ Lifestyle,10400000,Indonesia,252200,321600
saraalikhan95,Celebrity/ Entertainment,39700000,India,247900,302000
sarahhyland,Celebrity/ Entertainment,9100000,United States,223000,278900
sarwendah29,Celebrity/ Entertainment,30800000,Indonesia,75400,89200
sav.labrant,Family/ Home/ Parenting,7000000,United States,597100,798400
saweetie,Celebrity/ Entertainment,13100000,United States,144700,336200
sebastianyatra,Celebrity/ Entertainment,29300000,Argentina,219300,305600
selenagomez,Celebrity/ Entertainment,308200000,United States,3300000,4400000
sergioramos,Sports,49700000,Spain,606900,930300
shahidkapoor,Celebrity/ Entertainment,33500000,India,506700,574100
shakira,Celebrity/ Entertainment,71900000,India,691100,947200
shawnmendes,Celebrity/ Entertainment,67400000,Brazil,809300,1200000
shaymitchell,Fashion/ Beauty,32600000,United States,304800,426300
shehnaazgill,Celebrity/ Entertainment,11300000,India,396800,496300
shikhardofficial,Sports,10800000,India,261000,298400
shraddhakapoor,Celebrity/ Entertainment,70500000,India,1100000,1300000
shreyaghoshal,Celebrity/ Entertainment,23700000,India,127700,142500
shreyas41,Sports,5900000,India,461700,575700
sidmalhotra,Celebrity/ Entertainment,18700000,India,602400,750000
simaria,Celebrity/ Entertainment,27600000,Brazil,223500,326200
simoneses,Celebrity/ Entertainment,33700000,Brazil,327800,412200
sinavaliollah,Celebrity/ Entertainment,6800000,Iran,376400,474700
sincerooficial,Travel/ Lifestyle,21100000,Brazil,109500,212600
skawngur,Celebrity/ Entertainment,17800000,Indonesia,1800000,2500000
skuukzky,Fashion/ Beauty,17500000,Indonesia,871400,1100000
smriti_mandhana,Sports,5900000,India,550900,637700
snoopdogg,Travel/ Lifestyle,71800000,United States,60900,85500
sofiaalcastro,Celebrity/ Entertainment,8500000,Colombia,427400,582700
sofiavergara,Celebrity/ Entertainment,24800000,United States,109000,143000
sommerray,Fashion/ Beauty,26700000,United States,242300,381300
somsomi0309,Celebrity/ Entertainment,13900000,Indonesia,894600,1100000
sonamkapoor,Fashion/ Beauty,31900000,India,145800,173500
sonu_sood,Celebrity/ Entertainment,14100000,India,321300,367600
sooyaaa__,Celebrity/ Entertainment,58600000,Indonesia,4700000,5400000
sooyoungchoi,Fashion/ Beauty,6900000,Indonesia,348900,420700
sophiet,Celebrity/ Entertainment,14900000,United States,515900,693700
soueunavida,Travel/ Lifestyle,17500000,Brazil,204600,389500
soydannyalfaro,Fashion/ Beauty,8000000,Mexico,329400,377400
sportscenter,Sports,30000000,United States,125800,224200
ssinz7,Celebrity/ Entertainment,13500000,Indonesia,1300000,1600000
staceysolomon,Family/ Home/ Parenting,5100000,United Kingdom,409700,493600
starwars,Celebrity/ Entertainment,14900000,United States,182000,231400
staskaranikolaou,Travel/ Lifestyle,10800000,United States,179400,264100
stephencurry30,Sports,41100000,United States,565700,757600
sthefanematos,Travel/ Lifestyle,9700000,Brazil,256800,590200
strangerthingstv,Celebrity/ Entertainment,15600000,Brazil,433200,579500
subo_m,Celebrity/ Entertainment,9000000,Russia,294200,360400
suga_bighitentertainment,Travel/ Lifestyle,7900000,Indonesia,1200000,1400000
sunnyleone,Fashion/ Beauty,51500000,India,312800,421700
sureshraina3,Fashion/ Beauty,19100000,India,328700,371300
sydney_sweeney,Travel/ Lifestyle,11800000,United States,1800000,3400000
syifahadjureal,Fashion/ Beauty,14900000,Indonesia,295700,365000
sza,Celebrity/ Entertainment,11600000,United States,748600,1300000
t22felton,Celebrity/ Entertainment,11900000,United States,223400,289400
taehyung.bighitentertainment,Celebrity/ Entertainment,10300000,Indonesia,2000000,2100000
taeyeon_ss,Celebrity/ Entertainment,18300000,South Korea,762000,925800
taina,Celebrity/ Entertainment,15600000,Brazil,478300,998900
tamannaahspeaks,Celebrity/ Entertainment,15900000,India,344400,401900
tamerhosny,Celebrity/ Entertainment,22000000,Egypt,110500,134100
tatawerneck,Celebrity/ Entertainment,52100000,Brazil,80800,123500
taylor_hill,Celebrity/ Entertainment,18900000,United States,115500,172900
taylorswift,Celebrity/ Entertainment,204700000,Brazil,2300000,3100000
tchalamet,Celebrity/ Entertainment,17500000,United States,2300000,3800000
teddysphotos,Celebrity/ Entertainment,37700000,United States,161000,219800
tejasswiprakash,Fashion/ Beauty,5500000,India,424700,513400
tenlee_1001,Celebrity/ Entertainment,9400000,Indonesia,1100000,1400000
teyanataylor,Celebrity/ Entertainment,14600000,United States,153900,261200
thariqhalilintar,Celebrity/ Entertainment,6500000,Indonesia,476900,590200
thebursin,Celebrity/ Entertainment,10300000,Russia,891200,1200000
thedeverakonda,Celebrity/ Entertainment,14800000,India,984900,1200000
theellenshow,Celebrity/ Entertainment,116800000,United States,29200,33300
theestallion,Celebrity/ Entertainment,28200000,United States,504000,879900
thefatjewish,Travel/ Lifestyle,10100000,United States,186900,244400
thegirljt,Celebrity/ Entertainment,5100000,United States,234400,641800
thehughjackman,Celebrity/ Entertainment,30300000,United States,107100,122400
thenameisyash,Celebrity/ Entertainment,5900000,India,813100,964900
thenewclassic,Celebrity/ Entertainment,15800000,United States,233600,378200
thenotoriousmma,Health/ Fitness,45000000,United States,435400,631500
therealcalebmclaughlin,Celebrity/ Entertainment,11100000,Brazil,278700,398600
therealjosephmorgan,Celebrity/ Entertainment,7800000,Brazil,411300,514100
therock,Celebrity/ Entertainment,307000000,India,303400,396000
theshilpashetty,Celebrity/ Entertainment,24800000,India,107100,124000
theweeknd,Celebrity/ Entertainment,37500000,United States,725800,983900
thiagosilva,Sports,18900000,Brazil,122800,207200
tiagopzk,Celebrity/ Entertainment,4300000,Argentina,333400,761600
tiffanyyoungofficial,Fashion/ Beauty,11600000,Indonesia,240500,301200
tigerjackieshroff,Celebrity/ Entertainment,33800000,India,331600,405000
timatiofficial,Celebrity/ Entertainment,18000000,Russia,151200,202400
tinistoessel,Celebrity/ Entertainment,17400000,Argentina,631400,844700
tombrady,Sports,11800000,United States,458600,847900
tomcruise,Celebrity/ Entertainment,6200000,India,465000,645700
tommyinnit,Travel/ Lifestyle,3600000,France,724800,817400
toni.kr8s,Sports,31900000,Germany,178800,244100
travisscott,Celebrity/ Entertainment,44800000,United States,1400000,2100000
trentarnold66,Travel/ Lifestyle,6600000,United Kingdom,298900,438300
trippieredd,Celebrity/ Entertainment,12800000,United States,530700,1000000
troyesivan,Celebrity/ Entertainment,12600000,United States,157200,225600
trueno,Celebrity/ Entertainment,6700000,Argentina,479200,745700
twicetagram,Celebrity/ Entertainment,24600000,Indonesia,1300000,1600000
tyga,Celebrity/ Entertainment,32400000,United States,689200,1000000
tylerrjoseph,Celebrity/ Entertainment,5500000,United States,628200,941300
urassayas,Celebrity/ Entertainment,11400000,Thailand,181600,220800
urstrulymahesh,Celebrity/ Entertainment,8100000,India,527500,580400
ursulolita,Celebrity/ Entertainment,24600000,Brazil,2000000,2900000
urvashirautela,Celebrity/ Entertainment,46400000,India,193400,229900
valentinazenere,Fashion/ Beauty,8500000,Brazil,259000,315400
valeyellow46,Automotive,13300000,Indonesia,310500,405300
vancityreynolds,Celebrity/ Entertainment,42400000,United States,325200,422400
vanessahudgens,Celebrity/ Entertainment,44800000,United States,161100,262300
vanessalopesr_,Travel/ Lifestyle,10600000,Brazil,171900,559700
vanessamorgan,Celebrity/ Entertainment,9400000,United States,422300,600500
varundvn,Celebrity/ Entertainment,40900000,India,403400,492300
vickykaushal09,Celebrity/ Entertainment,13200000,India,1300000,1500000
victoriajustice,Celebrity/ Entertainment,21800000,United States,226200,309800
viihtube,Celebrity/ Entertainment,22900000,Brazil,148000,279900
vindiesel,Celebrity/ Entertainment,79000000,Brazil,440500,568500
vinijr,Sports,15800000,Brazil,909400,1500000
vinniehacker,Travel/ Lifestyle,5600000,United States,687000,1400000
virat.kohli,Sports,188100000,India,3100000,3400000
virgilvandijk,Sports,11500000,United Kingdom,235400,333600
virginia,Celebrity/ Entertainment,35800000,Brazil,1400000,2100000
vivi,Fashion/ Beauty,13100000,Brazil,200000,328400
vousmevoyez,Celebrity/ Entertainment,10100000,Indonesia,366600,475800
warriors,Travel/ Lifestyle,22200000,United States,81700,112800
watanabenaomi703,Celebrity/ Entertainment,9700000,Japan,339000,361000
waynerooney,Sports,15500000,United Kingdom,139800,201400
wdohwan,Celebrity/ Entertainment,4400000,Indonesia,504800,669000
whinderssonnunes,Travel/ Lifestyle,57900000,Brazil,988300,1500000
wilbursoot,Celebrity/ Entertainment,3200000,United States,687500,883100
willevy,Celebrity/ Entertainment,10200000,Brazil,382900,514400
willsmith,Celebrity/ Entertainment,62400000,United States,1900000,2400000
willyrex,Celebrity/ Entertainment,8600000,Spain,324100,385100
winmetawin,Travel/ Lifestyle,11700000,Philippines,1300000,1500000
wizkidayo,Celebrity/ Entertainment,14200000,Nigeria,243300,473400
wolfiecindy,Fashion/ Beauty,6900000,United States,226500,376700
wos.ds3,Celebrity/ Entertainment,6300000,Argentina,371200,567400
xavi,Sports,8100000,Spain,419400,629100
xeesoxee,Travel/ Lifestyle,8900000,Indonesia,1300000,1700000
xsqueezie,Celebrity/ Entertainment,7600000,France,519400,607300
xuminghao_o,Celebrity/ Entertainment,4300000,Indonesia,615900,776200
xxxtentacion,Celebrity/ Entertainment,20200000,United States,11800000,20800000
yasminabdelaziz_,Celebrity/ Entertainment,15400000,Egypt,185700,219900
yasmine_sabri,Celebrity/ Entertainment,18400000,Egypt,158400,222800
yastunes,Celebrity/ Entertainment,8000000,Iran,644000,894000
yefersoncossio,Travel/ Lifestyle,8800000,Colombia,257000,376600
yejinhand,Celebrity/ Entertainment,6000000,Indonesia,537100,699000
yerimiese,Travel/ Lifestyle,10100000,Indonesia,620300,768100
yoona__lim,Celebrity/ Entertainment,13200000,Indonesia,571600,683200
youngdae0302,Celebrity/ Entertainment,3800000,Indonesia,561400,741400
