Influencer_insta_name,category_1,followers,audience_country,"authentic_engagement
","engagement_avg
"
bhadbhabie,Celebrity/ Entertainment,16400000,United States,143100,268000
bhuvan.bam22,Celebrity/ Entertainment,14200000,India,741000,915800
bianca,Fashion/ Beauty,17700000,Brazil,73600,172200
bibisbeautypalace,Family/ Home/ Parenting,7800000,Germany,322700,369600
bighit_ent,Celebrity/ Entertainment,13000000,Indonesia,721300,888500
bigsean,Celebrity/ Entertainment,14600000,United States,169900,310300
billieeilish,Celebrity/ Entertainment,101700000,United States,2600000,3400000
bizarrap,Celebrity/ Entertainment,11500000,Argentina,920800,1100000
blackpinkofficial,Celebrity/ Entertainment,46200000,Indonesia,1100000,1400000
blakelively,Celebrity/ Entertainment,32000000,United States,827100,1300000
bleacherreport,Sports,18400000,United States,103800,204700
blythe,Celebrity/ Entertainment,13400000,Philippines,196900,224100
bmw,Automotive,33100000,India,73100,97600
bn_sj2013,Celebrity/ Entertainment,21400000,Indonesia,2500000,2900000
bobbyindaeyo,Celebrity/ Entertainment,3400000,Indonesia,679100,791200
borodylia,Celebrity/ Entertainment,18200000,Russia,123000,153200
bramastavrl,Celebrity/ Entertainment,23700000,Indonesia,109100,138900
brentrivera,Celebrity/ Entertainment,22100000,United States,888300,1200000
bretmanrock,Celebrity/ Entertainment,18300000,United States,551000,927900
brfootball,Sports,11900000,United States,146000,236000
britneyspears,Celebrity/ Entertainment,40200000,United States,180500,251600
brunamarquezine,Celebrity/ Entertainment,42600000,Brazil,485200,837200
brunomars,Celebrity/ Entertainment,24900000,Brazil,328700,499000
brycehall,Celebrity/ Entertainment,7500000,United States,279200,358700
bts.bighitofficial,Celebrity/ Entertainment,61700000,Indonesia,2400000,2600000
bugatti,Automotive,16100000,United States,124100,168500
bumkeyk,Celebrity/ Entertainment,9000000,Indonesia,376300,451600
burakozcivit,Celebrity/ Entertainment,20500000,Turkey,492800,597500
burcuozberk,Celebrity/ Entertainment,9000000,Turkey,560900,725600
bypamella,Celebrity/ Entertainment,9400000,Brazil,237700,406800
c.syresmith,Celebrity/ Entertainment,18600000,United States,190100,294600
camerondallas,Celebrity/ Entertainment,23000000,United States,104800,182600
camila_cabello,Celebrity/ Entertainment,60900000,Brazil,305400,418100
camilaloures,Celebrity/ Entertainment,17600000,Brazil,131500,196300
camilladelucas,Fashion/ Beauty,10800000,Brazil,205200,376800
camilo,Celebrity/ Entertainment,26400000,Argentina,252300,398900
camimendes,Celebrity/ Entertainment,26800000,Brazil,1100000,1600000
canelo,Health/ Fitness,12800000,Mexico,203000,282200
canyaman,Celebrity/ Entertainment,9300000,Italy,324400,402800
caradelevingne,Fashion/ Beauty,43300000,United States,130100,182800
carlinhosmaiaof,Travel/ Lifestyle,24800000,Brazil,441900,810700
carryminati,Business/ Tech/ Gaming,15000000,India,885800,1000000
casemiro,Sports,14000000,Spain,149800,224100
cazzu,Celebrity/ Entertainment,9800000,Argentina,396200,508000
cbum,Health/ Fitness,6600000,United States,248700,410600
celestebarber,Travel/ Lifestyle,8900000,United States,364800,393200
chaelincl,Celebrity/ Entertainment,9800000,Brazil,259000,342500
championsleague,Sports,91400000,Brazil,255300,344400
channingtatum,Celebrity/ Entertainment,17000000,United States,272100,393200
charles_leclerc,Automotive,6600000,Italy,473900,629200
charlidamelio,Travel/ Lifestyle,47700000,United States,1500000,1900000
charlieputh,Celebrity/ Entertainment,15700000,United States,320500,456200
chelseafc,Sports,33200000,Indonesia,115700,172400
chiaraferragni,Fashion/ Beauty,26700000,Italy,372000,616600
chloegmoretz,Celebrity/ Entertainment,20100000,United States,292900,392500
chrisbrownofficial,Celebrity/ Entertainment,106000000,United States,157100,241900
chrishemsworth,Celebrity/ Entertainment,54000000,India,776600,998100
chrissyteigen,Celebrity/ Entertainment,37400000,United States,158000,205500
ciara,Celebrity/ Entertainment,31300000,United States,199400,270600
claireholt,Celebrity/ Entertainment,7400000,United States,304100,415400
clean_0828,Travel/ Lifestyle,5500000,Indonesia,1300000,1600000
cocielo,Celebrity/ Entertainment,17800000,Brazil,360600,564800
coldplay,Celebrity/ Entertainment,15400000,Brazil,274000,381300
cole.labrant,Travel/ Lifestyle,5000000,United States,412600,580800
colesprouse,Fashion/ Beauty,36000000,United States,352700,459300
colleen,Family/ Home/ Parenting,7500000,United States,368300,463600
conangray,Celebrity/ Entertainment,5700000,Brazil,785400,1200000
courteneycoxofficial,Celebrity/ Entertainment,12100000,India,319900,421900
cristiano,Sports,419600000,India,5700000,7000000
cvillaloboss,Celebrity/ Entertainment,19200000,Colombia,247300,305100
cznburak,Food,32900000,Turkey,615200,836000
d_degeaofficial,Sports,12900000,United Kingdom,306800,434400
daddyyankee,Celebrity/ Entertainment,44900000,Argentina,1300000,1800000
dagelan,Travel/ Lifestyle,20600000,Indonesia,83400,140500
danbilzerian,Celebrity/ Entertainment,32800000,India,1300000,2100000
danialves,Sports,35700000,Brazil,170600,264900
daniel.k.here,Travel/ Lifestyle,4800000,Indonesia,458900,577400
danielricciardo,Automotive,6600000,United States,361100,469200
dannapaola,Celebrity/ Entertainment,33500000,Mexico,931600,1300000
daquan,Travel/ Lifestyle,16800000,United States,364200,561900
darshanravaldz,Celebrity/ Entertainment,14800000,India,205900,249100
dava_m,Business/ Tech/ Gaming,13700000,Russia,166000,215900
davidalaba,Sports,8500000,Spain,301400,426700
davidbeckham,Family/ Home/ Parenting,71900000,India,500400,641100
davidluiz23,Sports,21200000,Brazil,69800,152400
davido,Celebrity/ Entertainment,23300000,Nigeria,184900,259300
davidwarner31,Sports,9100000,India,238200,279700
davikah,Fashion/ Beauty,15900000,Thailand,355300,460800
ddlovato,Celebrity/ Entertainment,128700000,United States,319800,418400
dearra,Travel/ Lifestyle,6000000,United States,236900,589900
debbyryan,Celebrity/ Entertainment,16700000,United States,169400,246400
deepikapadukone,Celebrity/ Entertainment,65500000,India,347200,450300
demetozdemir,Celebrity/ Entertainment,15000000,Turkey,335600,449000
demirose,Fashion/ Beauty,19200000,United States,395900,515000
dhanushkraja,Celebrity/ Entertainment,4200000,India,685100,886300
diddy,Celebrity/ Entertainment,18400000,United States,109400,164500
diljitdosanjh,Celebrity/ Entertainment,12900000,India,203300,244700
dindahw,Celebrity/ Entertainment,13900000,Indonesia,288800,431500
